object-assign	vary	after	eslint	express	mocha	nyc	supertest
4.0.0	1.0.0	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.0.0	1.0.1	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.0.0	1.1.0	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.0.0	1.1.1	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.0.0	1.1.2	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.0.1	1.0.0	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.0.1	1.0.1	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.0.1	1.1.0	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.0.1	1.1.1	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.0.1	1.1.2	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.1.0	1.0.0	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.1.0	1.0.1	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.1.0	1.1.0	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.1.0	1.1.1	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.1.0	1.1.2	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.1.1	1.0.0	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.1.1	1.0.1	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.1.1	1.1.0	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.1.1	1.1.1	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
4.1.1	1.1.2	0.8.2	6.8.0	4.17.1	7.2.0	15.0.1	4.0.2
