chalk	fancy-log	imagemin	plugin-error	plur	pretty-bytes	through2-concurrent	ava	get-stream	imagemin-pngquant	vinyl	xo
3.0.0	1.3.2	7.0.0	1.0.1	3.0.1	5.3.0	2.0.0	2.3.0	5.1.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.0	1.0.1	3.0.1	5.3.0	2.0.0	2.3.0	5.1.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.0	1.0.1	3.0.1	5.3.0	2.0.0	2.3.0	5.2.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.0	1.0.1	3.0.1	5.3.0	2.0.0	2.3.0	5.2.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.0	1.0.1	3.0.1	5.3.0	2.0.0	2.4.0	5.1.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.0	1.0.1	3.0.1	5.3.0	2.0.0	2.4.0	5.1.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.0	1.0.1	3.0.1	5.3.0	2.0.0	2.4.0	5.2.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.0	1.0.1	3.0.1	5.3.0	2.0.0	2.4.0	5.2.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.0	1.0.1	3.1.0	5.3.0	2.0.0	2.3.0	5.1.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.0	1.0.1	3.1.0	5.3.0	2.0.0	2.3.0	5.1.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.0	1.0.1	3.1.0	5.3.0	2.0.0	2.3.0	5.2.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.0	1.0.1	3.1.0	5.3.0	2.0.0	2.3.0	5.2.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.0	1.0.1	3.1.0	5.3.0	2.0.0	2.4.0	5.1.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.0	1.0.1	3.1.0	5.3.0	2.0.0	2.4.0	5.1.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.0	1.0.1	3.1.0	5.3.0	2.0.0	2.4.0	5.2.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.0	1.0.1	3.1.0	5.3.0	2.0.0	2.4.0	5.2.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.0	1.0.1	3.1.1	5.3.0	2.0.0	2.3.0	5.1.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.0	1.0.1	3.1.1	5.3.0	2.0.0	2.3.0	5.1.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.0	1.0.1	3.1.1	5.3.0	2.0.0	2.3.0	5.2.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.0	1.0.1	3.1.1	5.3.0	2.0.0	2.3.0	5.2.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.0	1.0.1	3.1.1	5.3.0	2.0.0	2.4.0	5.1.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.0	1.0.1	3.1.1	5.3.0	2.0.0	2.4.0	5.1.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.0	1.0.1	3.1.1	5.3.0	2.0.0	2.4.0	5.2.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.0	1.0.1	3.1.1	5.3.0	2.0.0	2.4.0	5.2.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.1	1.0.1	3.0.1	5.3.0	2.0.0	2.3.0	5.1.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.1	1.0.1	3.0.1	5.3.0	2.0.0	2.3.0	5.1.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.1	1.0.1	3.0.1	5.3.0	2.0.0	2.3.0	5.2.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.1	1.0.1	3.0.1	5.3.0	2.0.0	2.3.0	5.2.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.1	1.0.1	3.0.1	5.3.0	2.0.0	2.4.0	5.1.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.1	1.0.1	3.0.1	5.3.0	2.0.0	2.4.0	5.1.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.1	1.0.1	3.0.1	5.3.0	2.0.0	2.4.0	5.2.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.1	1.0.1	3.0.1	5.3.0	2.0.0	2.4.0	5.2.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.1	1.0.1	3.1.0	5.3.0	2.0.0	2.3.0	5.1.0	8.0.0	2.2.0	0.25.3
3.0.0	1.3.2	7.0.1	1.0.1	3.1.0	5.3.0	2.0.0	2.3.0	5.1.0	8.0.0	2.2.0	0.25.4
3.0.0	1.3.2	7.0.1	1.0.1	3.1.0	5.3.0	2.0.0	2.3.0	5.2.0	8.0.0	2.2.0	0.25.3
