glob-watcher	gulp-cli	undertaker	vinyl-fs
5.0.3	2.2.0	1.2.1	3.0.0
5.0.3	2.2.0	1.2.1	3.0.1
5.0.3	2.2.0	1.2.1	3.0.2
5.0.3	2.2.0	1.2.1	3.0.3
5.0.3	2.2.1	1.2.1	3.0.0
5.0.3	2.2.1	1.2.1	3.0.1
5.0.3	2.2.1	1.2.1	3.0.2
5.0.3	2.2.1	1.2.1	3.0.3
5.0.3	2.3.0	1.2.1	3.0.0
5.0.3	2.3.0	1.2.1	3.0.1
5.0.3	2.3.0	1.2.1	3.0.2
5.0.3	2.3.0	1.2.1	3.0.3
5.0.4	2.2.0	1.2.1	3.0.0
5.0.4	2.2.0	1.2.1	3.0.1
5.0.4	2.2.0	1.2.1	3.0.2
5.0.4	2.2.0	1.2.1	3.0.3
5.0.4	2.2.1	1.2.1	3.0.0
5.0.4	2.2.1	1.2.1	3.0.1
5.0.4	2.2.1	1.2.1	3.0.2
5.0.4	2.2.1	1.2.1	3.0.3
5.0.4	2.3.0	1.2.1	3.0.0
5.0.4	2.3.0	1.2.1	3.0.1
5.0.4	2.3.0	1.2.1	3.0.2
5.0.4	2.3.0	1.2.1	3.0.3
5.0.5	2.2.0	1.2.1	3.0.0
5.0.5	2.2.0	1.2.1	3.0.1
5.0.5	2.2.0	1.2.1	3.0.2
5.0.5	2.2.0	1.2.1	3.0.3
5.0.5	2.2.1	1.2.1	3.0.0
5.0.5	2.2.1	1.2.1	3.0.1
5.0.5	2.2.1	1.2.1	3.0.2
5.0.5	2.2.1	1.2.1	3.0.3
5.0.5	2.3.0	1.2.1	3.0.0
5.0.5	2.3.0	1.2.1	3.0.1
5.0.5	2.3.0	1.2.1	3.0.2
5.0.5	2.3.0	1.2.1	3.0.3
