@google-cloud/storage	@size-limit/preset-small-lib	@strictsoftware/typedoc-plugin-monorepo	@types/chai	@types/jest	@types/mocha	@types/node	@types/sinon	chai	codecov	jest	karma-browserstack-launcher	karma-firefox-launcher	lerna	mocha	npm-run-all	prettier	replace-in-file	rimraf	sinon	size-limit	ts-jest	typedoc	typescript	Reason
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.7	11.15.23	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.1.3	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_07_25_163Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.7	11.15.0	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_10_02_349Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.0.17	5.2.7	11.15.23	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_12_43_996Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.7	11.13.18	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_15_22_985Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.7	11.15.23	7.5.1	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_18_02_668Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.7	11.15.23	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.2.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_20_39_391Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.7	11.15.23	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.3	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_23_21_135Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.7	11.15.19	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_25_56_027Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.12	24.9.1	5.2.7	11.15.23	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.0	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_28_36_272Z-debug.log</ br>
2.5.0	4.6.0	0.3.1	4.2.1	24.9.1	5.2.7	11.15.23	7.5.2	4.2.0	3.7.2	24.9.0	1.6.0	1.3.0	3.13.4	6.2.3	4.1.5	1.19.0	4.3.1	2.7.1	7.5.0	4.6.0	24.3.0	0.18.0	3.7.5	</ br>> @0.0.0 build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\raven</ br>> node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build</ br></ br>lerna notice cli v3.13.4</ br>lerna info Executing command in 15 packages: "yarn run build"</ br>@sentry/types: 'yarn' is not recognized as an internal or external command,</ br>@sentry/types: operable program or batch file.</ br>lerna ERR! yarn run build exited 2 in '@sentry/types'</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 2</ br>npm ERR! @0.0.0 build: `node ./scripts/verify-packages-versions.js && lerna run --stream --concurrency 1 --sort build`</ br>npm ERR! Exit status 2</ br>npm ERR! </ br>npm ERR! Failed at the @0.0.0 build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-11T09_31_13_806Z-debug.log</ br>
