fs-extra	object.entries	tapable
7.0.0	1.1.0	1.0.0
7.0.0	1.1.0	1.1.0
7.0.0	1.1.0	1.1.1
7.0.0	1.1.0	1.1.2
7.0.0	1.1.0	1.1.3
7.0.0	1.1.1	1.0.0
7.0.0	1.1.1	1.1.0
7.0.0	1.1.1	1.1.1
7.0.0	1.1.1	1.1.2
7.0.0	1.1.1	1.1.3
7.0.0	1.1.2	1.0.0
7.0.0	1.1.2	1.1.0
7.0.0	1.1.2	1.1.1
7.0.0	1.1.2	1.1.2
7.0.0	1.1.2	1.1.3
7.0.1	1.1.0	1.0.0
7.0.1	1.1.0	1.1.0
7.0.1	1.1.0	1.1.1
7.0.1	1.1.0	1.1.2
7.0.1	1.1.0	1.1.3
7.0.1	1.1.1	1.0.0
7.0.1	1.1.1	1.1.0
7.0.1	1.1.1	1.1.1
7.0.1	1.1.1	1.1.2
7.0.1	1.1.1	1.1.3
7.0.1	1.1.2	1.0.0
7.0.1	1.1.2	1.1.0
7.0.1	1.1.2	1.1.1
7.0.1	1.1.2	1.1.2
7.0.1	1.1.2	1.1.3
